ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000158864,1327,1195,1640,865,1547,1903,1217,1234
ENSG00000158865,4,5,0,0,0,0,1,0
ENSG00000158869,2,1,6,2,1,4,4,1
ENSG00000158874,0,1,3,3,7,0,0,2
ENSG00000158882,227,200,241,119,262,249,192,173
ENSG00000158887,13,13,17,15,27,16,17,22
ENSG00000158901,1,0,0,3,2,1,1,2
ENSG00000158941,1646,1557,1827,1082,1866,2198,1467,1661
ENSG00000158955,1,1,0,1,3,0,4,0
ENSG00000158966,326,186,393,237,328,340,443,423
ENSG00000158985,319,344,345,345,384,585,310,516
ENSG00000158987,1441,645,1433,432,1065,1527,1037,656
ENSG00000159023,535,318,670,234,470,308,438,190
ENSG00000159055,109,49,74,47,87,71,80,71
ENSG00000159063,401,337,473,277,426,672,394,320
ENSG00000159069,1971,2135,2220,1199,2513,3536,1510,1996
ENSG00000159079,253,277,304,214,303,437,346,254
ENSG00000159082,492,441,701,249,740,485,375,342
ENSG00000159086,747,570,620,399,905,866,793,618
ENSG00000159110,398,348,482,292,427,712,264,382
ENSG00000159111,870,672,784,429,733,764,627,688
ENSG00000159128,198,106,180,117,107,186,150,142
ENSG00000159131,851,1064,1194,608,1284,1767,961,1117
ENSG00000159140,6474,5434,7069,4425,7983,9261,6172,6010
ENSG00000159147,186,222,210,182,257,201,197,199
ENSG00000159164,478,415,487,237,726,722,433,444
ENSG00000159166,0,0,0,3,0,5,0,4
ENSG00000159167,262,652,262,347,606,5250,192,1071
ENSG00000159173,0,4,10,1,0,2,2,1
ENSG00000159176,2325,2837,3670,2202,3226,10059,3526,3363
ENSG00000159182,0,0,0,0,0,1,0,0
ENSG00000159184,2,2,3,2,0,1,1,1
ENSG00000159186,0,0,0,0,0,0,0,0
ENSG00000159189,0,0,0,0,0,0,0,0
ENSG00000159197,1,2,5,1,0,3,2,2
ENSG00000159199,473,457,374,266,339,500,235,268
ENSG00000159200,801,3610,4186,3105,1011,4938,1770,3664
ENSG00000159202,3145,2934,3257,2159,3550,4286,2668,2828
ENSG00000159208,107,69,80,30,114,144,57,43
ENSG00000159210,967,773,973,583,889,1312,641,729
ENSG00000159212,446,857,635,865,430,941,560,1067
ENSG00000159214,82,60,88,48,88,120,44,79
ENSG00000159216,2771,3048,3805,2736,3726,6007,2552,3992
ENSG00000159217,102,71,150,84,198,305,141,216
ENSG00000159224,1,1,2,3,2,0,3,1
ENSG00000159228,1313,1238,1481,739,1674,1853,1087,949
ENSG00000159231,253,209,318,207,263,213,285,308
ENSG00000159239,129,61,149,51,97,98,118,100
ENSG00000159247,0,0,0,0,0,0,0,0
ENSG00000159248,0,0,1,0,0,0,0,0
ENSG00000159251,1,1,1,4,17,8,0,4
ENSG00000159256,697,543,951,520,789,826,712,670
ENSG00000159259,69,75,129,56,119,136,114,101
ENSG00000159261,0,0,1,0,2,3,2,0
ENSG00000159263,27,15,22,27,26,37,19,35
ENSG00000159267,621,575,904,634,838,1211,775,906
ENSG00000159289,0,5,3,1,2,5,0,0
ENSG00000159307,175,184,48,22,332,353,45,56
ENSG00000159314,42,39,42,12,37,19,47,37
ENSG00000159322,1248,1060,1272,798,1274,1715,1043,1225
ENSG00000159335,2802,3797,5307,3604,4764,6466,3528,3595
ENSG00000159337,1,4,4,1,1,4,3,2
ENSG00000159339,1,1,0,0,1,0,0,0
ENSG00000159346,1342,1398,1836,1308,1934,2598,1206,1783
ENSG00000159348,728,565,1011,618,1040,1129,675,739
ENSG00000159352,1665,1589,1984,1067,1926,2208,1344,1483
ENSG00000159363,243,318,411,230,505,601,295,359
ENSG00000159374,1,7,5,0,4,7,0,0
ENSG00000159377,2838,2853,3041,1775,2878,3425,2098,2384
ENSG00000159387,1,0,4,4,0,2,0,0
ENSG00000159388,1197,781,1122,545,1157,798,991,874
ENSG00000159398,0,0,0,0,0,0,0,0
ENSG00000159399,815,927,615,429,992,2396,874,843
ENSG00000159403,50049,50338,55449,34266,40766,57223,42639,52551
ENSG00000159409,0,0,0,3,0,1,0,0
ENSG00000159423,342,553,396,477,480,864,236,525
ENSG00000159433,1027,967,770,413,831,609,731,695
ENSG00000159445,242,192,333,159,392,261,248,167
ENSG00000159450,0,15,1,0,1,1,2,0
ENSG00000159455,0,1,3,0,0,0,0,0
ENSG00000159459,821,730,1129,551,1183,1284,779,939
ENSG00000159461,2094,2055,2934,1720,2794,3672,1881,2515
ENSG00000159479,453,469,595,337,637,858,423,442
ENSG00000159495,0,0,0,0,1,0,0,0
ENSG00000159496,104,94,142,59,131,107,119,90
ENSG00000159516,0,0,0,0,0,0,0,0
ENSG00000159527,0,0,0,0,0,0,0,0
ENSG00000159556,36,56,20,6,33,73,40,75
ENSG00000159579,1036,752,1051,464,1247,968,764,760
ENSG00000159588,5,7,9,2,5,6,7,5
ENSG00000159592,1254,1145,1458,957,1530,1495,1012,1217
ENSG00000159593,629,735,780,566,789,1103,599,686
ENSG00000159596,462,356,514,260,568,536,413,279
ENSG00000159618,0,0,1,0,0,2,0,0
ENSG00000159625,1,1,3,2,0,2,2,0
ENSG00000159640,130,99,170,95,249,289,166,137
ENSG00000159648,1,3,2,3,2,7,11,2
ENSG00000159650,0,0,0,0,0,0,0,0
ENSG00000159658,2859,2952,3545,2633,3603,5438,3041,3806
ENSG00000159674,14003,8845,8138,2462,18200,7260,9436,4663
ENSG00000159685,105,72,166,69,147,134,105,84
ENSG00000159692,2747,1972,2475,1140,2513,2731,2079,1776
ENSG00000159708,7,2,16,2,10,4,13,4
ENSG00000159712,1,0,1,0,2,1,1,0
ENSG00000159713,20,7,17,4,28,8,26,8
ENSG00000159714,435,334,392,264,506,570,402,409
ENSG00000159720,1662,1255,1937,881,1994,1775,1667,1146
ENSG00000159723,1,0,0,0,1,1,0,0
ENSG00000159733,226,227,236,130,217,316,180,195
ENSG00000159753,5,2,4,0,2,9,1,11
ENSG00000159761,63,91,83,43,82,65,54,87
ENSG00000159763,0,2,4,4,0,0,0,0
ENSG00000159784,260,163,316,155,231,174,262,202
ENSG00000159788,476,413,428,281,599,543,527,358
ENSG00000159792,1111,1143,1100,807,1205,1722,872,1216
ENSG00000159840,7532,11357,9198,7827,7694,17089,6270,9792
ENSG00000159842,45,31,33,17,76,86,48,21
ENSG00000159860,4,18,18,7,11,63,10,32
ENSG00000159871,16,12,23,16,57,42,20,12
ENSG00000159873,556,419,559,356,811,602,524,557
ENSG00000159882,98,76,120,70,97,141,104,83
ENSG00000159884,337,650,409,462,452,1192,349,705
ENSG00000159885,71,36,79,36,101,75,67,70
ENSG00000159899,1409,1562,1878,1387,1574,1850,1497,1760
ENSG00000159904,6,1,0,0,11,6,3,3
ENSG00000159905,57,42,70,21,77,72,82,62
ENSG00000159915,47,14,81,36,75,51,46,52
ENSG00000159917,63,41,89,55,71,101,79,77
ENSG00000159921,510,471,547,318,548,711,357,550
ENSG00000159958,9,5,15,5,16,9,13,7
ENSG00000159961,0,0,0,0,1,0,0,0
ENSG00000160007,3124,2279,3388,1679,3656,4056,2907,2761
ENSG00000160013,81,69,142,126,74,227,114,152
ENSG00000160014,5871,4316,7547,3842,7229,8040,6639,5104
ENSG00000160049,1028,730,1111,498,1311,1444,917,821
ENSG00000160050,90,65,113,39,94,78,86,58
ENSG00000160051,46,47,93,43,82,88,67,51
ENSG00000160055,224,138,281,141,275,335,221,179
ENSG00000160058,1957,1487,2184,1034,2192,2145,1666,1752
ENSG00000160062,238,267,279,155,221,306,233,298
ENSG00000160072,253,321,262,220,270,472,202,263
ENSG00000160075,1726,1770,2062,1302,2049,2690,1506,1633
ENSG00000160087,582,584,683,424,752,899,554,569
ENSG00000160094,699,574,910,514,809,731,631,577
ENSG00000160097,19,11,20,4,22,22,22,4
ENSG00000160111,58,46,52,24,50,48,50,43
ENSG00000160113,427,367,402,252,350,539,399,391
ENSG00000160117,15,25,18,14,36,32,21,26
ENSG00000160124,118,92,156,100,153,212,84,80
ENSG00000160131,725,698,899,625,818,1050,641,783
ENSG00000160145,104,21,40,18,74,27,33,61
ENSG00000160161,0,3,3,0,9,13,9,10
ENSG00000160172,70,29,113,39,108,99,81,39
ENSG00000160179,132,156,200,131,100,134,251,547
ENSG00000160180,0,0,0,0,0,0,0,0
ENSG00000160181,0,0,1,1,0,0,0,0
ENSG00000160182,0,0,0,0,0,0,0,0
ENSG00000160183,0,2,0,0,0,2,1,0
ENSG00000160185,0,0,0,0,0,0,0,0
ENSG00000160188,3,5,4,1,2,3,2,4
ENSG00000160190,48,56,53,63,12,13,82,132
ENSG00000160191,17,12,14,5,9,3,2,2
ENSG00000160193,98,99,99,52,82,158,75,82
ENSG00000160194,662,548,763,414,785,926,529,542
ENSG00000160199,421,317,471,182,542,589,301,280
ENSG00000160200,132,207,239,305,51,105,131,331
ENSG00000160201,537,529,456,188,612,506,268,310
ENSG00000160202,0,0,0,0,0,0,0,0
ENSG00000160207,12,17,18,12,27,20,22,15
ENSG00000160208,650,529,743,368,795,1005,592,582
ENSG00000160209,1612,1682,2213,1264,2298,3677,2342,2067
ENSG00000160211,5257,4876,4223,1533,4514,3941,3183,2601
ENSG00000160213,1133,1357,2259,1437,1989,2606,1537,1891
ENSG00000160214,334,247,313,157,427,469,211,271
ENSG00000160216,1779,1646,2334,1442,2525,3632,1969,2013
ENSG00000160218,873,713,764,682,771,1168,692,1057
ENSG00000160219,54,90,41,39,55,111,51,93
ENSG00000160221,452,397,303,74,64,77,308,407
ENSG00000160223,20,17,19,4,37,17,26,10
ENSG00000160224,1,5,2,1,0,5,2,2
ENSG00000160226,609,573,851,432,696,884,515,510
ENSG00000160229,6,6,8,13,7,5,11,12
ENSG00000160233,31,38,118,93,26,51,63,83
ENSG00000160255,2,5,11,2,6,12,7,0
ENSG00000160256,85,116,124,106,157,483,76,192
ENSG00000160271,728,478,846,296,739,819,746,521
ENSG00000160282,43,41,11,4,6,11,5,9
ENSG00000160284,39,31,160,79,198,155,109,114
ENSG00000160285,4833,3639,4300,2282,4127,4740,3416,3776
ENSG00000160293,620,512,697,371,618,807,647,528
ENSG00000160294,2347,1921,2236,1285,1921,2620,1628,1733
ENSG00000160298,87,42,67,44,85,76,54,42
ENSG00000160299,879,906,1184,499,1464,1185,1096,956
ENSG00000160305,1028,811,1098,554,939,957,943,760
ENSG00000160307,15,14,46,21,2,5,5,4
ENSG00000160310,2423,1979,3051,1303,2623,2730,2016,2034
ENSG00000160318,6,9,3,1,1,5,9,9
ENSG00000160321,13,24,2,6,15,31,3,24
ENSG00000160323,106,99,141,76,65,79,71,97
ENSG00000160325,96,77,168,68,124,143,110,101
ENSG00000160326,38,35,46,20,63,96,39,32
ENSG00000160336,262,225,313,218,338,362,289,204
ENSG00000160339,0,0,0,0,0,0,0,0
ENSG00000160345,61,47,69,31,49,60,54,56
ENSG00000160349,0,1,0,0,0,0,0,0
ENSG00000160352,49,16,122,57,79,80,63,53
ENSG00000160360,2558,1665,2550,1032,2170,2293,2197,1573
ENSG00000160392,167,117,159,98,167,215,121,108
ENSG00000160396,6,7,10,2,14,8,9,11
ENSG00000160401,20,25,25,24,42,43,16,35
ENSG00000160404,121,117,99,85,135,148,101,160
ENSG00000160408,3296,3932,3737,2825,3642,6211,3182,4421
ENSG00000160410,988,1027,1291,637,1316,1488,776,840
ENSG00000160439,68,86,51,28,74,94,55,66
ENSG00000160445,2037,1784,2420,1356,2267,2706,1959,2097
ENSG00000160446,197,292,266,294,197,483,206,383
ENSG00000160447,41,47,64,68,46,97,66,101
ENSG00000160460,157,100,387,76,479,151,179,99
ENSG00000160469,189,133,190,84,256,205,157,73
ENSG00000160471,1,2,11,4,8,3,2,6
ENSG00000160472,0,4,2,2,4,13,4,2
ENSG00000160505,0,0,0,0,0,0,0,0
ENSG00000160539,208,164,99,63,286,363,157,174
ENSG00000160551,3760,3484,3701,2502,4838,6937,4040,4133
ENSG00000160563,302,281,308,196,348,364,239,278
ENSG00000160570,280,209,314,150,307,263,239,235
ENSG00000160584,1178,1041,1452,672,1445,2140,1007,1191
ENSG00000160588,4,1,8,3,6,5,5,3
ENSG00000160593,1,0,0,0,0,0,0,0
ENSG00000160602,117,106,133,113,98,130,132,85
ENSG00000160606,56,46,61,30,46,63,50,41
ENSG00000160613,1301,1771,1980,2834,2246,5528,1341,2398
ENSG00000160633,2011,1916,2131,1418,2.00E+03,2168,1761,2109
ENSG00000160654,15,7,37,5,8,6,57,17
ENSG00000160678,47,64,57,59,44,55,35,56
ENSG00000160679,794,719,832,429,819,1070,676,660
ENSG00000160683,0,0,0,0,0,0,0,53
ENSG00000160685,518,376,631,214,494,557,341,385
ENSG00000160688,280,332,298,215,378,438,234,249
ENSG00000160691,6201,5001,7779,3792,9045,11075,4768,4717
ENSG00000160695,646,507,633,300,708,667,609,568
ENSG00000160703,385,270,642,357,458,698,337,389
ENSG00000160710,5645,4144,5654,2928,6037,6919,4701,4323
ENSG00000160712,543,712,682,653,963,1094,532,954
ENSG00000160714,1411,1263,1504,770,1505,1708,1105,1407
ENSG00000160716,1,3,0,5,5,2,2,1
ENSG00000160741,600,663,572,463,667,808,447,620
ENSG00000160746,1116,1284,1533,1032,1585,2207,1022,1406
ENSG00000160752,892,766,994,585,863,1123,707,731
ENSG00000160753,603,732,700,366,574,777,484,666
ENSG00000160766,226,156,220,62,156,143,171,111
ENSG00000160767,532,600,605,370,583,688,507,677
ENSG00000160781,7,29,19,23,27,45,13,25
ENSG00000160783,344,283,425,205,408,381,361,316
ENSG00000160785,455,460,539,435,606,704,448,490
ENSG00000160789,13250,11922,18210,9479,13939,22313,14349,15214
ENSG00000160791,1,0,8,1,0,0,3,1
ENSG00000160796,149,213,117,115,139,292,163,271
ENSG00000160799,204,226,308,166,262,361,230,247
ENSG00000160801,77,80,73,42,65,87,32,42
ENSG00000160803,646,533,663,394,872,737,646,579
ENSG00000160808,14,10,13,11,6,21,11,12
ENSG00000160813,138,152,117,62,119,177,123,132
ENSG00000160818,226,347,383,247,377,719,223,266
ENSG00000160838,0,5,0,2,1,2,1,0
ENSG00000160856,3,2,5,0,1,3,2,3
ENSG00000160862,0,1,0,0,1,2,0,1
ENSG00000160867,429,315,527,116,304,319,375,201
ENSG00000160868,18,5,0,1,3,1,5,3
ENSG00000160870,633,479,202,29,174,162,107,48
ENSG00000160877,1211,997,1273,744,1263,1860,855,1096
ENSG00000160882,0,0,0,0,0,0,0,0
ENSG00000160883,0,0,1,0,0,3,0,0
ENSG00000160886,11,8,23,12,32,23,30,21
ENSG00000160888,649,478,564,285,660,608,624,471
ENSG00000160908,236,190,266,140,193,278,191,213
ENSG00000160917,408,283,493,218,423,494,357,256
ENSG00000160932,1931,1316,1726,998,2060,2309,2057,1692
ENSG00000160948,1347,1209,1368,778,1429,1722,1340,1528
ENSG00000160949,179,194,237,131,217,256,208,153
ENSG00000160951,14,2,15,4,4,3,15,8
ENSG00000160953,1079,812,937,475,1084,1237,900,872
ENSG00000160957,104,116,80,69,76,172,101,96
ENSG00000160959,640,639,588,402,652,807,538,521
ENSG00000160961,342,292,419,226,485,576,341,297
ENSG00000160963,0,0,0,1,1,0,4,0
ENSG00000160972,434,388,467,191,373,689,403,397
ENSG00000160973,12,3,3,4,7,0,2,2
ENSG00000160991,880,497,1112,353,1218,1403,977,592
ENSG00000160993,204,150,220,98,213,272,155,156
ENSG00000160994,0,0,0,0,0,0,0,0
ENSG00000160999,19,11,14,9,24,14,21,24
ENSG00000161010,889,682,894,485,952,928,765,667
ENSG00000161011,26779,14591,20345,9107,24627,17263,20053,13002
ENSG00000161013,5765,5416,6138,4545,9247,11562,5028,6424
ENSG00000161016,18774,18239,17583,9382,16294,19255,11623,12250
ENSG00000161021,755,693,1130,567,1188,1672,787,889
ENSG00000161031,0,0,0,0,0,0,0,0
ENSG00000161036,230,217,225,115,291,398,188,216
ENSG00000161040,8,7,17,2,23,10,15,16
ENSG00000161048,160,97,260,120,222,218,169,150
ENSG00000161055,0,0,0,0,0,1,0,0
ENSG00000161057,1282,1161,1495,822,1565,1661,1157,1095
ENSG00000161082,3,0,8,2,4,8,5,3
ENSG00000161091,727,992,820,577,952,1675,656,950
ENSG00000161103,31,13,17,22,13,162,11,26
ENSG00000161132,4,0,3,4,3,2,4,4
ENSG00000161133,9,11,0,0,0,0,23,0
ENSG00000161149,29,20,35,23,32,30,29,24
ENSG00000161179,83,106,106,67,78,145,114,134
ENSG00000161180,6,2,4,3,8,6,2,1
ENSG00000161202,2388,2164,3058,1682,3965,4295,2420,2698
ENSG00000161203,7966,8154,9334,5551,10813,13638,6597,7212
ENSG00000161204,711,639,961,494,1028,1211,662,620
ENSG00000161217,2036,2098,2885,1479,2523,3182,2032,2123
ENSG00000161243,80,84,135,79,108,93,67,78
ENSG00000161249,959,656,3228,1559,2056,2261,1330,1143
ENSG00000161265,106,92,171,81,109,151,146,162
ENSG00000161267,22,62,27,25,32,126,13,54
ENSG00000161270,0,1,1,2,0,1,1,1
ENSG00000161277,226,173,192,102,227,335,169,173
ENSG00000161281,297,346,315,215,320,440,325,408
ENSG00000161298,85,87,137,53,149,68,127,91
ENSG00000161328,18,20,0,0,22,10,4,15
ENSG00000161381,852,165,940,377,1301,547,801,340
ENSG00000161395,503,392,509,318,409,493,357,370
ENSG00000161405,30,30,35,18,19,37,37,20
ENSG00000161509,3,5,3,0,5,7,4,13
ENSG00000161513,1179,608,736,155,863,541,566,319
ENSG00000161526,605,629,886,472,817,931,548,634
ENSG00000161533,882,798,1034,539,1130,1125,833,709
ENSG00000161542,633,427,418,202,722,853,609,546
ENSG00000161544,2026,1364,1470,660,1742,1478,1533,1277
ENSG00000161547,2132,1920,2359,1322,2014,3123,1592,1572
ENSG00000161551,190,223,219,119,156,183,182,210
ENSG00000161558,175,115,181,118,150,139,130,115
ENSG00000161594,14,2,5,5,1,2,7,9
ENSG00000161609,1,1,8,3,8,4,4,3
ENSG00000161610,0,0,0,0,0,1,0,0
ENSG00000161618,285,333,297,168,281,355,288,243
ENSG00000161634,0,1,1,0,1,1,1,2
ENSG00000161638,4976,4782,5517,3354,5687,5896,4061,4038
ENSG00000161640,1,4,4,4,5,4,6,2
ENSG00000161642,785,497,682,219,623,375,603,310
ENSG00000161643,1,0,2,0,0,0,0,2
ENSG00000161647,91,208,82,162,103,364,42,238
ENSG00000161649,0,1,0,0,2,1,3,1
ENSG00000161652,5,5,4,3,3,5,4,5
ENSG00000161653,57,43,58,20,61,59,49,47
ENSG00000161654,735,812,809,588,959,1087,709,786
ENSG00000161664,95,73,115,42,103,96,83,69
ENSG00000161671,1705,1670,1884,975,1384,1688,1244,1406
ENSG00000161677,548,678,364,298,410,679,345,504
ENSG00000161681,140,82,141,38,178,187,114,89
ENSG00000161682,374,190,485,134,388,195,446,275
ENSG00000161692,113,121,136,90,103,112,99,86
ENSG00000161714,2588,2315,2299,1142,2644,2673,2231,2881
ENSG00000161791,782,395,729,307,855,842,529,447
ENSG00000161798,0,2,0,0,1,1,1,0
ENSG00000161800,394,535,393,232,430,386,326,454
ENSG00000161807,0,0,0,0,0,0,0,0
ENSG00000161813,736,1281,782,751,973,1796,749,1381
ENSG00000161835,282,181,207,114,235,129,181,124
ENSG00000161847,525,569,680,335,738,1090,466,568
ENSG00000161849,0,0,0,0,0,0,0,0
ENSG00000161850,0,0,0,0,0,0,0,0
ENSG00000161860,4,3,8,8,5,13,3,15
ENSG00000161888,62,55,81,75,73,71,103,112
ENSG00000161896,33,38,29,15,75,143,6,12
ENSG00000161904,886,812,1015,724,1152,1302,741,775
ENSG00000161905,4,1,0,0,0,0,0,1
ENSG00000161911,0,0,0,0,0,0,0,0
ENSG00000161912,59,28,30,35,72,46,22,37
ENSG00000161914,53,53,68,33,81,54,38,45
ENSG00000161920,175,143,201,90,211,232,156,147
ENSG00000161921,188,65,263,112,272,173,255,110
ENSG00000161929,21,12,42,13,38,32,28,20
ENSG00000161939,17,5,12,0,15,0,0,8
ENSG00000161940,1,6,6,1,6,0,0,1
ENSG00000161944,1,0,0,0,0,0,0,0
ENSG00000161955,135,107,103,108,130,181,94,95
ENSG00000161956,695,776,825,528,981,1208,579,677
ENSG00000161958,435,410,433,219,280,528,343,279
ENSG00000161960,7396,7556,7246,4065,8577,11905,5246,6021
ENSG00000161970,14461,14390,17203,7996,17946,17590,10796,10353
ENSG00000161973,3,2,3,0,0,1,1,1
ENSG00000161980,72,76,85,68,80,128,68,92
ENSG00000161981,276,268,342,168,278,334,201,163
ENSG00000161992,0,0,0,0,0,0,0,0
ENSG00000161996,435,412,370,210,260,490,271,310
ENSG00000161999,1299,1020,1150,680,1344,1706,993,850
ENSG00000162004,38,48,33,32,30,50,37,56
ENSG00000162006,0,0,0,0,0,0,0,0
ENSG00000162009,0,0,0,0,0,0,0,0
ENSG00000162032,591,654,553,470,500,657,426,774
ENSG00000162039,3,5,2,1,0,12,1,0
ENSG00000162040,0,0,0,0,0,0,0,0
ENSG00000162062,24,7,19,12,8,4,7,9
ENSG00000162063,91,65,83,58,94,103,61,70
ENSG00000162065,326,224,321,169,313,400,408,278
ENSG00000162066,827,508,515,225,603,499,647,398
ENSG00000162068,18,5,12,4,7,12,19,10
ENSG00000162069,2,1,3,1,3,6,1,0
ENSG00000162073,95,93,55,62,34,118,84,103
ENSG00000162076,339,360,415,237,331,504,308,326
ENSG00000162078,0,0,0,0,3,1,0,1
ENSG00000162086,247,210,360,207,398,424,216,217
ENSG00000162104,1708,1502,1985,1088,1982,3228,2022,2227
ENSG00000162105,216,179,187,133,175,355,271,212
ENSG00000162129,171,104,128,95,182,180,104,83
ENSG00000162139,197,94,362,89,268,211,184,121
ENSG00000162144,1601,1550,1861,850,2359,2319,1320,1024
ENSG00000162148,41,38,79,39,49,38,44,35
ENSG00000162174,15,12,15,13,15,17,12,15
ENSG00000162188,5,4,2,0,4,7,2,2
ENSG00000162191,1679,1695,1785,1026,2037,2113,1295,1454
ENSG00000162194,103,73,106,80,70,71,83,84
ENSG00000162222,347,306,440,290,373,478,310,361
ENSG00000162227,305,266,185,122,231,193,166,183
ENSG00000162231,1837,1817,1779,1185,1813,2216,1330,1809
ENSG00000162236,903,782,891,594,955,1084,708,815
ENSG00000162241,103,111,151,80,116,115,132,145
ENSG00000162244,14533,14382,13058,6544,13077,14815,8807,9162
ENSG00000162267,1,9,0,15,10,33,0,10
ENSG00000162298,881,1117,1082,735,1131,1552,804,1248
ENSG00000162300,536,433,625,273,570,635,386,439
ENSG00000162302,1057,1003,827,441,721,1307,828,813
ENSG00000162337,570,531,852,633,359,823,969,1457
ENSG00000162341,356,522,348,271,407,663,339,569
ENSG00000162344,0,0,0,0,0,0,0,0
ENSG00000162365,1,0,0,0,2,3,0,0
ENSG00000162366,0,0,5,3,2,8,0,0
ENSG00000162367,2,1,1,0,3,3,5,0
ENSG00000162368,2314,2434,2993,2342,3100,3895,2291,3062
ENSG00000162373,11,1,6,1,7,0,10,12
ENSG00000162374,0,0,0,0,1,0,0,0
ENSG00000162377,348,338,332,242,448,555,324,360
ENSG00000162378,1191,1035,1407,917,1275,1641,1248,1206
ENSG00000162383,391,275,553,185,356,226,348,263
ENSG00000162384,799,728,923,534,994,968,807,670
ENSG00000162385,217,239,254,176,269,329,216,205
ENSG00000162390,205,160,320,133,271,286,228,184
ENSG00000162391,2,4,7,2,0,7,3,3
ENSG00000162396,115,74,112,65,85,122,74,80
ENSG00000162398,0,0,0,0,1,1,0,0
ENSG00000162399,0,3,4,3,3,3,5,7
ENSG00000162402,2612,1799,2755,1518,2808,2943,3730,2382
ENSG00000162407,28821,13715,46925,12556,32342,19816,41115,20490
ENSG00000162408,328,322,388,280,418,529,270,298
ENSG00000162409,228,212,339,237,301,402,217,242
ENSG00000162413,2263,2311,1936,2125,2387,2881,1719,2772
ENSG00000162415,109,31,186,83,149,221,118,45
ENSG00000162419,257,207,330,135,325,360,224,193
ENSG00000162426,112,210,91,145,110,370,87,268
ENSG00000162430,4325,4001,3888,2368,5418,7521,4190,4537
ENSG00000162433,1585,1096,2023,853,1726,4132,1627,1394
ENSG00000162434,7777,6887,8553,6058,8979,12374,7655,10317
ENSG00000162437,266,189,369,214,192,198,358,311
ENSG00000162438,11,6,5,1,6,5,4,3
ENSG00000162441,423,252,445,175,483,456,373,311
ENSG00000162444,4,3,6,0,4,3,1,1
ENSG00000162456,0,0,0,0,0,0,0,0
ENSG00000162458,1638,1941,1861,1281,1843,2746,1154,1844
ENSG00000162460,0,0,0,0,0,0,0,0
ENSG00000162461,51,41,13,45,26,47,39,25
ENSG00000162482,9,6,9,2,10,11,8,8
ENSG00000162490,9,12,19,1,13,9,6,3
ENSG00000162493,896,2693,540,986,225,1.00E+03,387,1341
ENSG00000162494,0,0,0,2,0,1,0,1
ENSG00000162496,1996,3966,4046,5024,1578,3242,2414,5865
ENSG00000162510,26,8,22,2,12,17,11,7
ENSG00000162511,5,3,3,7,2,7,0,3
ENSG00000162512,4566,2611,3799,1494,3452,3422,3554,2929
ENSG00000162517,911,767,1124,567,1128,1330,805,825
ENSG00000162520,1397,1060,2062,699,1923,1976,1566,1336
ENSG00000162521,2160,1848,2652,1308,2663,2658,2048,1868
ENSG00000162522,889,738,927,560,810,725,915,817
ENSG00000162526,44,36,45,20,56,43,34,27
ENSG00000162542,380,252,368,188,393,509,308,329
ENSG00000162543,2,2,21,6,0,2,14,5
ENSG00000162545,4756,6402,6107,6654,3245,7164,5319,9008
ENSG00000162551,576,689,1464,736,1950,3337,455,615
ENSG00000162552,2,1,12,2,3,1,1,0
ENSG00000162571,0,2,1,1,1,0,0,0
ENSG00000162572,155,112,124,55,251,149,135,70
ENSG00000162576,11299,11058,12735,8098,10697,13101,9064,10138
ENSG00000162585,824,858,899,473,647,911,623,642
ENSG00000162591,416,309,915,473,443,647,978,1133
ENSG00000162592,1,0,3,0,1,0,1,0
ENSG00000162594,1,1,0,0,1,2,0,0
ENSG00000162595,77,36,47,12,231,129,31,7
ENSG00000162598,2,3,4,14,4,8,0,6
ENSG00000162599,678,590,629,273,434,659,536,914
ENSG00000162600,227,247,288,177,404,368,294,326
ENSG00000162601,912,879,1103,722,1136,1521,1257,1017
ENSG00000162604,612,772,904,808,693,1121,621,1105
ENSG00000162607,627,498,584,414,677,641,517,518
ENSG00000162613,1449,1250,1435,929,1971,2416,1235,1254
ENSG00000162614,2003,7810,2992,6911,2397,10561,2416,8969
ENSG00000162616,671,1621,1054,1491,1153,3389,702,1971
ENSG00000162618,167,105,185,71,544,435,164,98
ENSG00000162620,5,9,1,3,21,26,3,10
ENSG00000162621,0,0,0,0,0,0,0,0
ENSG00000162623,495,444,644,373,728,862,443,470
ENSG00000162624,0,1,0,0,0,0,0,0
ENSG00000162627,762,601,892,497,814,847,710,688
ENSG00000162630,5,17,26,73,9,129,6,78
ENSG00000162631,18,9,14,4,9,5,60,31
ENSG00000162636,919,518,821,358,774,864,968,649
ENSG00000162639,43,29,45,32,43,43,36,23
ENSG00000162641,11,22,13,5,6,19,12,18
ENSG00000162642,289,229,378,199,375,453,253,260
ENSG00000162643,148,49,104,16,146,77,199,39
ENSG00000162645,1152,1119,1821,946,1966,1419,1263,1003
ENSG00000162650,97,118,134,79,98,150,91,116
ENSG00000162654,90,41,100,46,117,93,72,72
ENSG00000162664,1174,691,1223,492,1291,1114,956,698
ENSG00000162669,5,5,25,0,2,1,0,3
ENSG00000162670,0,0,0,0,0,0,1,0
ENSG00000162676,2,6,6,1,2,2,0,1
ENSG00000162685,0,0,0,0,0,0,0,0
ENSG00000162687,94,95,120,116,111,318,113,225
ENSG00000162688,879,758,906,853,773,1223,803,1193
ENSG00000162692,917,68,1185,60,1309,168,620,31
ENSG00000162694,1115,760,1223,493,1208,1098,991,700
